CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
8.55,9.44,87,15,85,86,0,49,80,31,0,90.03
9.26,5.02,52,77,53,45,0,76,65,10,9,88.71
6.09,7.62,39,73,89,61,1,40,51,13,3,74.48
6.48,7.36,39,86,99,64,1,68,42,22,1,85.0
9.35,6.4,34,96,54,13,1,18,79,44,20,68.9
6.28,9.71,97,29,93,22,1,22,87,7,0,63.1
5.02,9.78,53,58,85,95,1,86,55,6,11,99.0
7.46,6.22,62,59,58,97,0,22,86,5,2,76.26
8.94,5.61,50,40,59,35,0,73,67,44,7,80.72
5.02,9.28,43,66,66,70,1,89,61,56,13,97.43
7.34,8.88,35,44,94,86,1,92,93,76,18,99.0
7.18,6.24,95,69,100,70,0,98,60,55,10,99.0
5.91,9.13,86,98,85,81,0,46,79,46,5,88.37
5.37,9.33,56,73,98,37,1,66,96,55,20,89.56
6.63,9.54,29,41,88,41,0,38,37,14,11,74.75
5.79,6.11,68,54,78,11,0,94,86,46,17,84.39
6.06,9.62,80,55,85,52,0,52,38,22,9,83.73
9.35,5.66,71,19,58,93,1,18,72,62,10,78.06
8.5,7.36,96,91,98,55,0,61,43,20,14,96.17
5.33,9.03,65,59,89,85,0,94,51,30,17,99.0
6.42,5.5,89,65,79,89,0,16,68,38,12,75.37
6.38,8.17,39,79,89,8,1,13,88,14,9,57.73
9.17,8.85,24,59,81,57,1,14,42,17,18,79.92
6.86,9.24,83,45,97,23,0,5,32,16,18,66.34
7.52,5.41,41,78,100,40,0,55,41,26,15,79.71
7.74,7.25,30,50,85,37,1,45,75,51,8,72.99
8.75,8.97,39,10,76,50,0,44,52,35,15,82.66
8.35,7.31,15,74,100,51,0,37,95,82,1,71.41
5.78,5.55,77,37,77,65,0,21,78,32,10,66.37
8.73,6.15,81,98,93,80,0,35,35,16,8,87.14
7.55,8.95,58,21,74,93,1,94,89,32,1,99.0
5.32,6.52,71,32,60,42,1,46,36,31,11,68.92
6.63,8.24,86,42,74,91,0,96,85,63,8,99.0
9.47,5.39,77,73,96,25,0,48,93,10,0,73.32
7.62,5.15,34,58,76,32,0,96,38,30,1,81.11
9.18,5.56,88,81,73,97,0,26,91,17,17,92.32
8.61,9.41,68,98,55,36,0,99,35,32,2,98.42
6.85,8.67,81,93,53,22,1,67,41,21,16,87.75
9.41,9.73,92,10,100,99,1,21,66,3,0,88.02
6.2,5.83,28,72,56,68,1,20,50,29,7,65.0
5.14,5.25,42,54,75,89,1,19,41,23,15,71.0
9.39,7.5,96,84,89,65,1,36,54,36,7,87.47
7.25,9.44,92,21,70,14,1,82,46,29,11,87.13
9.23,8.79,85,48,65,33,1,20,61,26,3,70.53
9.44,9.54,30,89,86,41,1,47,40,21,5,84.82
6.3,7.45,53,70,82,15,1,71,33,12,17,82.37
8.0,6.68,27,24,68,56,1,20,43,1,11,69.14
6.36,5.32,92,13,55,79,0,87,84,32,20,98.4
5.8,8.07,70,44,57,10,1,35,35,3,18,68.12
7.94,9.22,59,43,79,11,1,85,42,28,0,82.11
8.62,5.67,15,38,77,31,0,97,95,45,20,93.58
6.81,9.3,77,83,51,33,1,90,54,49,15,97.11
5.14,5.9,20,87,60,31,0,71,45,9,1,69.43
7.79,7.82,70,27,62,36,1,80,61,55,2,82.74
7.43,5.1,98,73,66,78,0,26,89,2,19,83.91
5.91,8.79,52,76,80,20,1,91,99,93,11,87.75
8.02,5.94,98,15,89,0,0,43,82,28,0,59.6
8.33,9.74,75,55,85,92,0,36,55,27,0,88.52
7.31,9.33,11,49,68,19,0,37,42,32,11,67.75
6.11,8.19,47,74,92,56,0,59,41,7,20,91.04
8.65,7.45,92,69,80,21,0,17,79,49,13,69.34
8.1,9.11,90,60,75,39,1,76,68,67,3,89.76
8.57,8.59,74,84,54,82,0,7,39,19,10,80.28
6.61,8.14,90,44,88,4,1,98,100,62,4,84.45
7.77,6.96,87,88,63,12,0,11,38,23,9,59.97
6.5,9.33,82,14,65,12,1,31,33,3,17,69.96
5.99,7.57,34,78,71,36,1,50,52,20,11,74.96
7.14,7.96,97,69,98,57,0,65,85,18,20,98.6
7.82,6.49,92,17,87,32,0,44,79,10,11,74.75
6.71,7.96,26,42,96,30,1,29,38,10,12,67.5
6.55,6.94,16,18,74,67,0,60,43,34,17,82.77
7.97,6.82,45,36,64,72,0,17,71,67,1,65.37
8.4,5.71,13,87,70,9,0,30,46,38,3,56.36
8.06,5.32,22,14,79,27,0,34,100,29,16,65.36
7.11,6.68,93,45,58,12,1,53,99,99,8,68.97
8.02,6.29,13,40,99,8,1,50,56,39,15,69.03
9.43,9.05,92,72,95,1,1,86,97,6,14,97.54
7.38,8.59,83,46,85,43,0,48,35,2,18,87.32
6.84,6.34,38,22,65,66,0,74,100,65,1,79.9
7.15,6.96,42,73,69,7,0,78,100,9,6,77.05
6.69,7.73,22,86,51,42,1,40,59,36,2,68.24
9.23,5.36,42,74,76,50,0,31,62,60,15,75.64
7.93,7.63,99,11,51,86,1,32,33,2,8,83.97
7.1,8.9,66,36,50,0,1,84,97,19,20,87.67
5.9,7.49,20,80,92,43,0,56,58,6,7,76.45
7.47,7.61,86,32,98,27,1,66,30,2,8,82.82
8.84,9.65,41,64,97,48,1,72,61,25,20,99.0
5.43,7.84,65,92,58,37,1,28,64,27,0,62.84
6.28,6.83,87,89,87,28,1,3,39,11,6,57.92
7.07,9.26,81,12,75,48,1,77,92,7,8,91.6
5.95,9.68,42,56,93,24,1,90,52,17,7,88.24
7.42,6.84,83,44,52,17,1,67,94,2,17,83.0
7.54,6.6,58,25,91,57,0,24,37,18,1,65.15
9.36,7.67,46,27,63,71,1,32,78,63,8,79.8
6.88,8.5,21,21,82,98,0,70,30,3,19,99.0
7.16,6.36,39,76,95,77,0,74,87,84,16,95.7
7.89,7.92,15,11,50,35,0,95,51,34,10,87.62
8.74,6.4,25,14,82,41,0,6,34,32,19,62.83
8.58,8.74,31,20,80,99,1,38,41,41,5,86.01
9.47,8.34,35,54,96,85,0,81,57,23,0,99.0
9.32,9.24,84,39,96,22,0,13,79,71,2,64.59
6.32,7.67,30,29,82,8,1,29,68,43,16,60.64
8.62,8.8,77,43,67,26,1,63,59,15,3,82.33
8.94,7.99,69,41,92,28,0,68,31,20,17,90.2
5.48,8.99,56,81,64,19,1,42,66,30,6,67.98
8.7,8.6,41,64,82,79,0,38,44,25,0,82.68
9.35,8.27,72,79,78,36,0,64,44,20,10,91.12
6.95,5.08,57,84,85,81,0,30,36,15,16,80.83
8.44,8.15,94,51,92,9,1,9,44,15,13,65.18
5.26,8.38,73,73,89,0,1,21,36,36,6,54.17
7.58,5.09,98,61,91,47,0,65,52,52,9,82.45
5.6,8.12,71,42,89,56,0,85,61,21,3,88.32
5.86,9.37,45,27,73,14,1,56,96,50,11,72.03
5.65,6.3,42,45,71,1,0,72,92,51,15,70.39
5.27,5.4,22,62,77,38,1,21,37,26,11,56.52
9.35,7.75,43,87,56,82,0,72,70,52,2,96.67
7.33,5.52,32,62,75,84,0,69,67,21,5,87.89
8.5,7.46,100,51,61,71,0,16,67,23,1,73.56
5.98,8.18,74,83,62,43,0,50,88,58,1,73.65
7.18,6.18,45,100,76,82,1,17,86,40,9,75.66
7.01,5.93,82,95,61,28,0,88,64,34,3,84.27
8.17,5.94,11,98,61,93,1,98,62,41,16,99.0
8.68,7.75,97,72,64,14,1,40,35,9,10,76.29
8.81,7.46,99,83,51,98,0,48,73,56,11,98.35
5.37,7.57,62,90,84,54,1,15,62,10,19,73.64
7.63,6.92,52,34,100,67,1,39,46,27,19,84.62
7.29,7.96,35,75,53,91,1,72,82,53,18,99.0
9.05,5.42,34,59,90,1,1,92,41,29,9,81.99
6.84,9.78,14,17,71,10,1,41,62,3,5,64.11
5.05,8.41,98,88,78,62,1,22,92,41,2,70.78
9.42,9.2,31,15,79,85,0,99,79,19,6,99.0
7.45,6.81,23,15,69,84,1,37,76,10,13,80.93
8.04,5.61,63,90,76,2,1,84,40,32,7,79.38
9.05,7.78,18,84,86,93,0,95,39,17,9,99.0
5.89,9.59,12,27,74,25,0,44,60,60,13,68.03
8.34,9.75,82,83,62,87,1,38,34,27,16,98.09
6.84,9.22,37,38,53,3,0,29,37,8,3,57.11
5.33,7.94,31,62,95,81,0,68,53,19,5,87.34
8.27,8.87,94,52,89,18,1,23,59,51,3,66.33
5.28,9.52,52,36,97,48,1,53,77,8,20,86.32
7.96,8.59,63,63,50,75,1,27,40,32,14,83.8
7.55,9.57,47,84,76,87,0,35,44,42,6,86.46
5.74,5.49,75,48,61,49,1,70,90,81,0,73.28
6.96,6.62,70,52,62,98,0,83,74,44,2,96.5
5.56,6.82,35,14,93,37,1,24,46,25,17,62.96
9.25,9.58,19,30,95,79,0,25,82,40,16,87.24
8.05,5.99,21,85,67,76,1,4,54,33,11,69.08
9.15,6.15,61,62,82,72,0,30,89,35,18,86.01
9.12,7.49,72,49,70,1,1,95,46,41,11,89.05
5.01,5.5,78,98,93,70,1,95,79,6,17,99.0
9.45,6.28,96,23,85,57,1,54,83,52,16,90.51
7.07,8.74,99,26,76,80,0,27,33,15,18,86.72
8.62,6.29,12,32,57,38,0,46,30,6,12,73.33
6.23,7.28,50,95,74,57,1,98,60,56,15,99.0
6.9,9.34,25,69,54,4,1,32,60,27,3,60.02
9.15,8.52,16,82,72,36,1,2,57,28,9,65.22
9.36,6.2,29,75,64,23,1,64,31,25,12,80.84
9.37,7.44,99,98,81,18,1,96,51,28,20,99.0
5.0,8.01,87,12,61,79,0,6,78,37,8,64.56
5.01,5.11,60,28,98,57,0,15,79,1,0,54.15
5.84,6.73,56,25,68,99,0,77,95,87,14,95.37
8.69,5.09,70,64,78,42,1,70,59,34,0,80.28
5.08,8.25,40,38,72,7,0,30,96,43,9,55.83
7.74,9.37,50,68,94,5,0,41,30,4,9,72.39
5.57,6.05,40,61,75,48,1,82,66,26,1,79.05
6.43,8.74,18,22,51,67,0,32,67,37,9,71.85
7.67,7.86,47,38,79,27,1,15,60,15,17,67.22
9.29,5.78,26,32,65,20,1,89,50,48,16,86.75
5.07,6.82,91,43,55,73,1,69,78,25,13,89.15
9.4,8.75,20,47,50,31,0,76,56,44,16,90.97
6.06,5.69,23,37,99,7,0,92,39,1,10,76.73
7.74,9.0,71,65,79,54,0,22,48,17,13,79.1
9.23,5.75,70,65,52,8,0,50,69,52,1,66.06
8.28,6.67,55,81,100,92,1,12,87,25,10,81.38
8.41,6.08,65,74,65,71,0,68,95,72,8,91.16
9.48,6.04,67,93,52,8,0,85,33,6,20,93.5
6.39,9.51,24,73,89,45,0,76,62,7,12,91.72
8.68,5.5,91,82,87,53,0,9,87,11,8,70.16
8.57,6.44,43,13,58,10,1,28,54,40,0,53.49
6.44,6.02,16,15,97,40,0,61,51,27,16,75.28
8.82,7.7,72,85,68,56,1,19,84,71,7,75.39
5.82,9.75,97,55,84,66,1,98,37,11,2,99.0
5.36,7.68,73,44,93,77,1,36,36,12,4,76.13
5.05,5.42,30,31,63,27,0,13,35,30,14,49.1
7.52,7.2,80,31,93,44,0,35,50,7,3,71.05
6.12,7.36,32,62,71,27,0,62,64,63,12,74.06
8.27,6.77,10,83,79,7,1,17,77,30,9,58.03
7.77,8.68,52,90,84,89,1,46,76,9,6,93.54
6.75,8.36,41,67,72,89,1,44,91,45,10,88.14
7.65,7.32,74,58,93,58,1,14,69,7,11,74.07
5.8,6.5,97,15,59,34,0,62,95,82,15,76.01
6.64,5.43,74,52,64,42,1,4,63,26,11,57.97
5.48,8.1,30,40,55,35,1,2,46,8,10,54.07
8.17,6.35,16,95,58,87,1,47,31,5,19,93.75
8.87,8.41,20,18,69,0,1,7,49,43,19,57.66
7.27,5.98,90,70,63,95,0,21,70,25,16,84.21
6.48,7.66,84,64,83,86,0,94,64,14,20,99.0
6.01,8.41,42,49,89,17,0,43,94,19,17,72.14
5.98,6.15,86,80,69,16,1,72,39,22,14,79.72
5.54,6.33,74,22,61,86,0,91,80,30,4,92.31
5.24,5.38,45,10,90,1,0,83,31,1,1,63.73
9.09,5.72,92,91,91,50,0,17,80,68,11,74.19
5.26,7.59,41,10,52,13,0,24,100,34,12,53.67
7.03,6.05,90,51,98,49,1,27,33,12,11,72.51
5.3,5.78,12,76,70,37,0,94,79,12,7,81.82
9.47,6.21,32,68,51,45,1,36,77,41,3,71.54
8.69,5.41,63,15,83,39,1,6,36,27,13,60.63
5.33,6.25,88,46,67,17,1,89,57,53,5,76.4
6.31,5.52,67,80,82,30,0,56,59,10,3,70.67
7.84,6.99,61,55,84,44,1,97,74,28,10,97.23
8.83,5.01,26,19,88,74,0,27,49,28,10,72.46
6.65,6.76,76,62,62,81,0,15,32,28,3,68.53
7.87,6.47,78,56,85,84,0,62,34,26,2,88.76
8.44,6.35,76,89,97,29,1,28,84,12,5,70.86
6.87,6.15,98,64,81,3,1,34,59,5,15,67.3
8.32,8.7,26,14,87,4,1,78,66,6,20,86.69
6.91,6.99,62,70,54,87,0,36,40,22,19,87.64
8.1,6.16,97,70,98,25,1,78,99,63,19,93.03
9.3,7.07,11,67,59,81,0,81,58,21,3,96.41
7.3,8.42,96,93,62,74,1,60,37,16,16,99.0
6.45,5.92,100,46,66,49,0,16,68,66,16,66.54
8.83,9.74,69,82,59,39,0,72,58,25,7,94.03
8.73,8.2,12,41,91,2,0,64,64,37,7,73.12
7.62,9.27,84,97,99,85,1,79,61,28,13,99.0
6.65,9.68,21,33,93,61,1,63,71,16,14,90.63
5.84,5.82,68,86,61,66,0,58,97,72,16,84.91
7.61,5.85,29,64,100,78,0,77,41,33,15,95.71
7.2,6.2,91,27,60,0,0,78,37,12,10,75.37
7.9,9.65,56,10,94,37,0,69,52,21,1,82.46
5.56,6.58,37,76,69,60,0,44,73,36,14,76.46
6.26,7.42,89,85,50,85,1,37,93,52,14,87.18
7.71,7.48,36,69,58,72,0,88,48,11,1,94.65
9.47,5.54,21,56,59,42,0,24,35,10,9,67.44
7.62,5.95,72,68,79,64,1,40,87,28,6,78.57
6.03,9.15,83,89,60,20,0,8,57,23,18,66.23
5.31,6.43,55,63,77,55,0,85,34,29,9,85.78
5.43,7.81,37,12,57,74,1,10,92,75,11,63.2
9.25,8.75,66,57,56,80,1,36,90,76,3,85.5
6.55,6.99,13,90,76,92,1,81,48,14,1,94.18
7.9,9.34,91,41,73,71,0,59,31,22,11,94.88
5.8,5.5,86,86,68,12,0,82,31,28,6,74.98
8.94,9.55,54,15,64,1,0,25,81,15,9,64.44
7.09,9.25,38,17,71,13,1,17,90,89,6,55.4
7.2,8.24,70,34,92,88,1,99,59,36,12,99.0
9.23,7.79,85,69,52,54,0,61,89,2,5,90.81
7.14,9.05,13,99,90,59,1,86,38,7,4,96.56
7.38,5.74,94,27,61,42,1,37,70,59,2,65.48
8.23,7.37,63,77,92,63,0,85,34,6,0,95.68
7.96,9.41,33,39,66,82,0,77,49,12,16,99.0
7.8,8.27,55,44,83,34,0,59,67,51,11,81.5
7.5,8.6,90,97,93,46,1,55,31,12,19,95.23
5.08,6.75,100,68,53,1,1,6,96,49,6,46.81
9.23,6.19,70,34,88,77,1,18,72,60,17,80.98
5.79,6.27,88,47,59,38,0,33,40,19,6,63.8
8.47,7.48,53,37,86,79,1,88,44,35,14,99.0
9.22,7.09,45,99,53,97,1,52,43,28,0,92.1
6.13,7.98,78,98,98,65,1,65,77,33,6,90.97
8.07,6.6,71,42,79,40,1,23,36,21,1,63.76
7.85,5.16,58,28,72,44,1,67,93,81,13,80.76
8.88,7.91,45,97,69,57,1,70,72,72,12,95.72
9.04,6.75,38,53,76,25,1,9,46,40,13,62.07
7.53,5.05,48,46,73,16,0,20,41,20,2,51.17
9.22,7.34,35,100,79,81,1,38,76,56,14,91.67
5.41,8.96,96,91,56,29,1,70,62,5,6,84.21
8.5,6.06,53,52,74,85,1,58,72,72,0,84.73
5.71,5.08,47,22,62,19,0,9,100,16,17,50.75
8.98,6.25,98,47,52,47,1,66,50,44,2,83.1
6.14,8.5,15,46,56,40,1,43,66,48,14,72.41
6.43,8.08,31,32,99,24,1,8,83,17,7,55.29
5.33,5.38,20,14,80,43,1,9,67,26,1,45.69
7.99,6.31,44,80,76,70,1,37,47,45,17,83.76
6.38,9.71,21,29,93,91,0,51,54,40,10,88.62
6.63,8.29,14,12,79,44,0,81,47,36,0,77.8
5.55,6.41,34,60,86,24,0,19,73,19,0,50.67
7.43,5.95,100,67,88,8,1,71,75,13,16,83.56
6.77,5.88,14,59,69,17,0,30,31,9,5,55.43
8.24,9.75,46,55,93,94,0,74,50,50,5,99.0
5.95,5.25,87,91,81,11,1,86,87,81,14,81.85
9.18,9.12,25,83,66,20,0,52,30,11,11,81.69
9.04,9.72,11,47,88,45,1,32,82,41,0,73.15
5.32,6.21,100,94,64,72,0,8,85,32,18,73.02
6.31,8.62,36,79,61,31,1,97,45,18,20,98.1
7.95,5.61,62,90,94,95,0,3,96,50,12,76.73
8.34,7.0,83,25,88,92,0,26,33,3,10,84.82
7.97,8.85,36,97,81,10,0,77,80,18,2,82.29
6.76,5.93,93,44,91,60,1,14,38,34,14,69.33
8.17,7.83,87,84,78,31,1,99,63,26,10,99.0
9.12,8.49,90,86,99,88,1,32,77,75,0,88.37
7.11,8.2,45,34,88,48,1,64,72,60,17,87.42
7.89,5.35,38,19,74,70,1,68,66,22,1,80.92
8.47,9.57,20,75,88,55,0,4,72,8,3,68.6
8.15,5.19,26,92,50,12,0,29,66,33,14,62.52
7.02,6.18,49,22,99,76,0,66,51,20,5,84.61
7.07,8.44,33,63,53,19,0,2,51,2,7,54.54
8.94,5.14,70,20,83,58,1,11,72,35,8,65.88
5.72,9.36,52,56,56,38,0,84,75,21,15,91.57
5.01,5.88,75,44,61,64,0,96,94,85,6,87.69
8.42,6.7,54,89,96,36,0,89,76,30,19,99.0
5.87,6.69,84,56,71,85,1,44,65,53,13,84.54
7.13,9.76,91,67,54,30,0,45,71,7,1,75.98
8.04,8.17,48,32,80,59,0,71,66,38,6,88.62
5.05,6.54,54,13,53,10,0,69,97,44,0,60.45
7.3,8.41,99,12,50,2,1,21,78,63,16,61.94
8.02,8.36,41,30,58,47,0,82,69,40,7,89.01
7.15,6.06,56,83,64,32,0,97,52,41,6,87.59
9.4,5.43,65,23,85,27,0,12,40,17,5,58.25
5.91,6.38,16,61,70,99,1,39,30,10,1,76.09
7.84,6.46,85,52,79,58,0,45,95,37,12,82.83
7.96,7.81,38,17,52,10,1,11,33,25,5,51.13
8.67,8.23,28,88,61,13,0,84,44,22,10,87.75
6.82,8.93,46,14,62,90,0,24,58,19,1,73.9
5.27,6.34,93,53,98,75,1,17,70,32,0,65.55
7.05,5.58,67,17,51,99,0,99,43,22,12,99.0
5.89,5.54,84,88,93,25,0,65,65,48,15,78.84
7.96,6.54,39,29,69,60,1,67,66,36,2,81.17
7.2,8.8,30,70,77,55,1,79,68,57,10,92.95
9.35,8.95,21,17,61,34,1,22,59,6,12,71.51
8.12,6.87,81,87,88,40,1,47,64,42,2,77.32
9.03,9.61,83,75,92,96,0,24,32,14,16,97.86
7.19,5.51,23,29,69,62,1,80,84,68,12,86.1
9.06,7.18,64,21,66,11,1,6,94,34,17,61.34
7.91,6.96,97,98,89,33,0,83,41,1,11,96.12
7.83,8.55,76,33,97,57,1,73,39,14,7,93.39
7.04,9.23,49,14,95,93,0,44,31,20,14,90.7
7.38,9.45,71,10,91,71,1,25,34,18,18,83.99
6.93,5.23,76,39,89,72,1,8,39,32,6,63.36
5.18,5.82,85,46,57,93,1,83,81,30,19,99.0
6.58,8.58,54,13,93,97,0,25,94,34,17,85.15
9.06,5.09,28,24,93,59,0,19,63,32,9,66.95
5.03,7.73,36,15,85,60,0,27,98,31,18,70.63
7.6,5.82,24,18,87,72,1,82,79,54,1,85.15
8.05,5.64,30,59,82,24,0,73,53,52,6,75.29
6.89,8.71,26,70,78,40,1,68,85,50,20,90.46
5.67,7.46,59,75,100,71,0,91,56,45,16,99.0
8.74,9.71,31,95,67,70,0,70,33,8,11,99.0
5.27,7.82,74,57,76,74,0,42,44,22,20,85.73
8.43,5.86,20,36,94,76,1,55,46,35,2,80.18
6.45,5.71,30,20,54,86,0,47,73,40,10,77.16
7.67,9.5,79,58,76,81,0,79,57,45,1,98.87
6.11,8.31,43,82,86,34,1,90,43,43,16,92.99
6.04,7.85,99,35,96,22,0,93,41,31,3,83.92
8.92,9.47,33,82,100,62,1,71,46,5,17,99.0
6.36,9.71,30,80,69,2,0,4,53,27,9,53.26
5.4,6.86,71,58,96,100,1,25,32,6,13,82.62
8.45,7.13,58,75,58,79,1,2,64,53,6,70.43
7.6,8.76,12,90,72,45,1,51,62,62,7,79.28
6.89,8.68,54,81,63,17,1,82,80,21,14,89.35
6.71,7.2,28,24,76,59,0,25,92,9,20,74.15
6.23,8.21,73,73,93,55,1,90,62,60,5,93.87
6.78,8.69,47,22,75,3,1,16,46,33,14,57.01
7.11,9.6,46,34,84,22,0,28,74,43,7,65.57
8.68,9.59,23,86,73,67,0,6,49,8,16,80.23
8.85,5.47,71,97,68,57,1,7,60,18,11,71.45
6.47,5.78,88,71,80,37,1,75,95,69,4,80.34
8.41,7.4,10,67,59,56,1,77,52,32,1,86.03
8.41,6.56,89,16,92,71,1,82,47,5,11,99.0
9.3,8.0,67,81,92,2,0,7,84,57,3,57.72
8.75,8.0,89,43,58,37,0,37,86,48,15,80.21
6.43,7.08,77,93,75,23,1,96,31,3,4,89.17
5.11,7.02,39,70,85,27,0,63,34,14,5,70.52
6.19,8.86,75,79,50,50,0,25,58,49,10,72.16
5.34,7.46,99,94,73,75,0,79,63,8,7,96.42
5.36,9.43,27,16,100,51,1,46,30,7,10,75.78
6.04,5.14,22,10,89,96,1,46,74,72,20,82.2
6.09,6.28,31,88,61,14,0,82,95,51,2,72.73
6.45,6.88,100,79,99,14,0,32,58,52,18,70.4
7.55,9.22,42,78,84,13,1,35,69,10,2,67.83
7.64,5.09,24,44,85,22,0,46,56,14,7,64.4
7.91,5.43,97,58,69,44,1,71,38,4,1,82.81
9.27,8.66,14,65,84,11,1,76,44,2,18,91.43
8.83,8.87,58,56,84,18,0,3,53,49,4,58.09
9.49,9.02,56,96,51,10,1,58,53,22,13,85.82
7.58,5.56,33,75,73,94,0,61,67,22,7,90.11
8.32,5.46,97,21,58,62,0,37,99,86,3,71.72
7.19,5.39,56,30,84,11,1,36,45,34,6,57.41
6.72,8.27,77,54,93,30,1,25,84,66,12,69.36
8.17,7.2,13,75,86,47,1,54,76,47,0,75.89
5.68,9.69,69,40,98,17,1,30,71,29,16,70.25
5.28,8.23,37,78,81,3,0,85,41,41,19,81.69
5.62,6.1,91,22,77,65,0,89,70,8,12,93.13
9.35,5.33,66,57,76,92,1,65,73,42,15,99.0
7.93,5.86,41,88,87,85,1,23,90,59,3,75.22
8.87,8.0,35,52,73,10,1,58,81,46,10,76.7
8.06,7.02,10,14,52,16,1,53,47,21,11,68.32
5.37,8.93,96,17,50,84,0,83,55,23,6,95.46
7.56,5.39,92,69,97,53,0,75,80,17,8,90.02
8.72,5.01,84,50,72,72,1,84,41,15,10,98.41
5.35,5.3,39,21,98,3,0,10,72,72,4,38.0
5.5,5.83,91,44,94,46,1,14,30,16,12,62.5
8.94,5.76,13,63,100,52,0,89,100,51,6,91.38
8.27,5.17,21,33,91,8,1,34,89,81,8,56.99
6.4,8.49,75,38,82,88,0,80,91,73,16,99.0
6.89,6.4,66,49,89,58,1,67,51,10,18,91.56
8.04,8.55,18,16,94,50,0,0,53,26,15,64.65
6.07,9.37,61,36,61,21,1,84,49,43,10,83.87
6.01,8.22,88,86,60,47,1,77,30,29,14,92.36
9.0,5.24,58,72,52,43,1,18,72,19,16,71.57
7.61,7.19,99,62,78,70,1,38,68,16,0,80.05
9.07,6.04,84,21,77,85,1,76,50,43,5,95.77
5.16,7.16,60,75,100,18,0,1,89,45,13,53.17
6.31,5.84,72,23,57,86,0,22,77,10,16,75.8
8.07,9.45,40,16,74,81,1,90,39,12,7,99.0
8.84,7.08,19,49,88,50,1,60,44,7,10,85.73
5.37,7.03,19,70,63,99,0,10,61,47,17,73.41
7.33,7.51,45,58,50,69,0,23,88,23,13,76.07
5.58,8.96,87,16,56,29,1,40,98,93,13,69.84
8.74,7.45,48,12,92,60,1,55,73,30,12,86.92
7.23,5.16,51,52,98,18,1,59,100,11,11,73.19
7.01,5.01,39,29,68,20,0,47,46,30,0,56.9
7.72,6.3,52,49,97,67,0,73,74,28,11,92.15
9.17,5.94,67,91,67,100,0,46,80,14,6,93.86
8.1,7.2,48,79,57,75,0,92,50,29,11,99.0
8.3,8.9,91,26,100,69,1,51,40,36,12,92.28
9.07,8.18,66,31,90,8,0,19,81,42,1,59.1
7.16,6.46,54,70,79,4,0,73,57,45,8,73.72
7.55,9.27,70,78,90,14,0,18,79,64,6,64.05
5.93,9.55,75,58,56,89,0,66,60,52,19,99.0
6.15,8.97,78,60,100,56,0,26,55,42,1,70.21
6.84,8.83,67,78,81,22,1,92,99,37,12,94.25
6.79,9.43,29,68,97,40,1,36,97,29,11,76.89
6.14,9.58,44,42,81,7,1,40,46,25,6,64.14
9.24,6.67,21,38,72,18,1,58,36,5,4,72.85
8.64,9.33,54,35,52,64,0,63,100,88,5,88.89
5.56,7.27,77,98,56,19,0,24,62,32,15,64.83
5.94,9.57,80,28,83,41,0,48,87,77,1,72.05
7.68,5.9,10,50,68,58,0,14,84,23,10,63.95
8.46,6.24,15,70,71,47,0,82,90,26,5,86.99
5.69,8.42,88,30,96,39,0,56,67,26,4,75.72
8.99,5.22,18,18,65,22,1,54,51,15,13,71.66
7.72,7.55,50,82,89,10,1,19,60,30,9,62.38
8.63,6.26,76,18,87,9,1,90,59,38,15,87.34
8.16,8.21,73,57,99,28,0,24,81,40,13,72.89
9.33,8.65,10,100,71,94,1,4,62,44,11,82.07
6.33,7.32,65,65,74,61,0,73,68,28,18,94.16
7.25,5.11,49,93,92,53,0,17,31,21,9,65.88
6.2,5.64,22,83,68,28,1,8,39,33,14,54.53
8.17,8.6,28,88,53,70,0,65,37,1,18,99.0
6.94,8.15,32,88,68,72,0,71,54,14,10,94.37
7.3,5.51,52,50,83,46,1,31,81,25,6,66.97
6.6,6.04,62,34,80,51,1,70,51,25,7,80.94
8.95,8.73,39,20,84,4,0,70,88,39,0,73.95
8.31,5.58,42,29,81,45,1,70,76,65,5,78.98
5.8,7.33,63,81,61,0,1,14,40,29,12,53.77
8.41,7.61,90,54,63,16,1,36,83,65,12,72.36
9.32,6.91,71,39,81,70,0,19,87,79,17,80.65
8.85,7.38,87,17,60,21,0,72,95,58,14,85.25
7.01,7.35,19,19,72,93,0,1,64,13,10,68.03
7.59,6.72,82,90,67,54,1,34,37,21,19,83.67
8.16,5.69,36,73,85,63,0,29,86,59,14,76.26
6.21,7.44,40,29,92,72,1,52,41,9,19,87.61
9.24,6.21,53,68,78,38,0,77,83,48,9,88.94
8.75,8.13,91,67,52,77,0,49,87,3,20,99.0
9.36,8.73,61,69,94,62,1,20,81,68,12,82.6
7.85,9.46,49,74,87,23,0,61,65,16,7,82.99
8.07,7.64,36,63,78,56,1,94,78,23,14,99.0
8.43,8.65,41,88,97,73,0,33,35,23,16,89.7
8.92,5.03,34,71,99,60,0,52,91,2,12,85.25
6.37,9.15,53,94,75,20,1,1,65,9,0,54.78
8.43,8.05,86,78,55,83,0,36,76,26,14,92.47
8.62,9.69,42,87,68,96,1,3,66,55,18,87.25
8.12,8.41,67,49,88,35,0,54,37,29,17,85.63
5.68,5.24,60,34,73,63,1,6,88,54,10,58.19
6.87,7.21,99,81,84,83,0,12,89,57,19,82.59
